cont_comuna,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05
Conchalí,30.0,16.0,18.0,28.0,16.0,27.0,43.0,48.0,58.0,41.0,54.0,61.0,60.0,52.0,46.0,64.0,62.0,63.0,69.0,69.0,74.0,52.0,67.0,60.0,53.0,54.0,48.0,40.0,46.0,27.0,39.0,27.0,28.0,27.0,31.0,27.0,14.0,20.0,18.0,12.0,19.0,9.0,13.0,13.0,10.0,6.0,12.0,8.0,11.0,15.0,7.0,9.0,10.0,8.0,8.0,11.0,7.0,11.0,8.0,24.0,16.0,16.0,16.0,16.0,12.0,14.0
Copiapó,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,,1.0,3.0,2.0,,1.0,1.0,1.0,1.0,3.0,2.0,4.0,,3.0,3.0,1.0,,2.0,2.0,,1.0,3.0,2.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,1.0,2.0,,2.0,1.0,,,1.0,,,1.0,,,
Coquimbo,,,2.0,,,3.0,1.0,1.0,2.0,1.0,,,2.0,3.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,,,,2.0,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,
Coronel,3.0,4.0,5.0,3.0,5.0,3.0,,1.0,,1.0,1.0,,,1.0,2.0,2.0,1.0,2.0,1.0,,,,,2.0,2.0,7.0,4.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,,3.0,,1.0,3.0,1.0,1.0,1.0,3.0,,2.0,3.0,2.0,,1.0,2.0,1.0,2.0,1.0,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,
Coyhaique,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,1.0,,1.0,,2.0,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,
Cunco,,2.0,,,2.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacautín,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacaví,8.0,8.0,3.0,4.0,13.0,7.0,17.0,13.0,16.0,14.0,14.0,21.0,18.0,19.0,15.0,16.0,21.0,23.0,19.0,12.0,24.0,9.0,15.0,19.0,18.0,22.0,15.0,18.0,15.0,12.0,16.0,11.0,11.0,8.0,8.0,3.0,10.0,6.0,5.0,7.0,4.0,4.0,8.0,9.0,8.0,5.0,4.0,12.0,3.0,7.0,6.0,4.0,8.0,3.0,6.0,5.0,9.0,5.0,10.0,3.0,5.0,3.0,5.0,5.0,2.0,3.0
Curicó,,,1.0,,,,,1.0,,,,,,,,1.0,,1.0,,1.0,,,,,3.0,,3.0,,,2.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0
Desconocido,,1.0,,,,,24.0,12.0,21.0,22.0,12.0,17.0,12.0,33.0,15.0,14.0,18.0,18.0,3.0,24.0,3.0,4.0,8.0,2.0,7.0,5.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,2.0,2.0,1.0,2.0,,
