cont_comuna,prevision,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28
Catemu,FONASA,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cañete,FONASA,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Cerrillos,CAPREDENA,,,,,,,,,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerrillos,DESCONOCIDO,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,7.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,4.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0
Cerrillos,FONASA,11.0,16.0,14.0,11.0,16.0,23.0,26.0,25.0,25.0,28.0,24.0,23.0,23.0,24.0,20.0,24.0,19.0,39.0,32.0,23.0,18.0,18.0,22.0,9.0,8.0,5.0,11.0,7.0,4.0,6.0,2.0,2.0,4.0,5.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,4.0,2.0,6.0,5.0,3.0,4.0,4.0,3.0,2.0,1.0,2.0,1.0
Cerrillos,ISAPRE,2.0,,2.0,1.0,5.0,7.0,5.0,2.0,7.0,7.0,5.0,7.0,5.0,3.0,1.0,1.0,2.0,11.0,10.0,6.0,3.0,3.0,4.0,3.0,1.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,,,,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,3.0,,2.0,2.0,2.0
Cerrillos,NINGUNA,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
Cerro Navia,DESCONOCIDO,1.0,2.0,1.0,,4.0,3.0,,,1.0,2.0,1.0,4.0,1.0,1.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,1.0,1.0,4.0,3.0,3.0,3.0,2.0,5.0,1.0,1.0,1.0,,,,2.0,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
Cerro Navia,FONASA,22.0,22.0,29.0,22.0,17.0,20.0,20.0,14.0,17.0,28.0,27.0,28.0,31.0,27.0,36.0,41.0,31.0,48.0,45.0,11.0,8.0,12.0,13.0,19.0,14.0,13.0,16.0,11.0,14.0,15.0,17.0,14.0,15.0,12.0,10.0,8.0,10.0,9.0,8.0,5.0,8.0,7.0,7.0,6.0,2.0,6.0,7.0,9.0,8.0,6.0,7.0,2.0,5.0,5.0,3.0,1.0,2.0,3.0
Cerro Navia,ISAPRE,3.0,2.0,3.0,1.0,3.0,4.0,5.0,5.0,4.0,5.0,3.0,2.0,5.0,2.0,3.0,2.0,3.0,5.0,5.0,,1.0,,,,,1.0,1.0,1.0,2.0,2.0,3.0,,2.0,1.0,3.0,1.0,,1.0,,,,,,,,2.0,,,,,,1.0,1.0,1.0,2.0,2.0,1.0,2.0
Cerro Navia,NINGUNA,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Chanco,FONASA,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chañaral,FONASA,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiguayante,DESCONOCIDO,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiguayante,FONASA,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiguayante,ISAPRE,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chillán,DESCONOCIDO,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Chillán,FONASA,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,2.0,,,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,
Chimbarongo,ISAPRE,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Codegua,FONASA,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Codegua,ISAPRE,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coelemu,DESCONOCIDO,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coelemu,FONASA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colbún,ISAPRE,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colina,CAPREDENA,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colina,DESCONOCIDO,2.0,2.0,5.0,3.0,7.0,7.0,4.0,2.0,4.0,4.0,4.0,6.0,4.0,5.0,4.0,2.0,3.0,6.0,4.0,,1.0,,1.0,2.0,3.0,1.0,,,,,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,1.0,3.0,,,4.0
Colina,DIPRECA,,,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
