cont_comuna,prevision,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28
Curepto,FONASA,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curicó,DESCONOCIDO,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curicó,FONASA,,,,,,,,1.0,,,1.0,1.0,,,2.0,3.0,,,,1.0,,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,1.0,,,1.0,2.0,1.0,
Curicó,ISAPRE,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curicó,NINGUNA,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desconocido,DESCONOCIDO,8.0,6.0,5.0,20.0,12.0,20.0,13.0,5.0,5.0,5.0,4.0,9.0,5.0,3.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0
Desconocido,FONASA,23.0,12.0,11.0,29.0,21.0,38.0,16.0,9.0,9.0,9.0,8.0,18.0,8.0,6.0,4.0,4.0,5.0,4.0,4.0,,1.0,,,1.0,1.0,2.0,2.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0
Desconocido,ISAPRE,14.0,10.0,9.0,29.0,17.0,41.0,18.0,10.0,10.0,11.0,11.0,23.0,10.0,6.0,4.0,4.0,3.0,3.0,2.0,,,,,,,,,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
Desconocido,NINGUNA,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,
Doñihue,FONASA,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Bosque,CAPREDENA,,,,,,,,,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Bosque,DESCONOCIDO,1.0,1.0,4.0,2.0,2.0,5.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,,7.0,3.0,1.0,,,2.0,2.0,1.0,,3.0,1.0,,,1.0,,1.0,,,,,,,2.0,,,,1.0,2.0,,1.0,,,,,,,,,,,1.0
El Bosque,DIPRECA,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Bosque,FONASA,25.0,23.0,36.0,40.0,52.0,41.0,44.0,55.0,57.0,62.0,53.0,62.0,49.0,43.0,41.0,40.0,30.0,53.0,44.0,21.0,29.0,23.0,20.0,27.0,17.0,29.0,20.0,19.0,14.0,11.0,14.0,15.0,14.0,16.0,14.0,13.0,13.0,12.0,9.0,9.0,7.0,8.0,10.0,9.0,10.0,7.0,10.0,11.0,5.0,6.0,5.0,9.0,6.0,9.0,13.0,8.0,5.0,6.0
El Bosque,ISAPRE,5.0,4.0,10.0,4.0,5.0,6.0,3.0,5.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,2.0,3.0,8.0,8.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,,1.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,1.0
El Bosque,NINGUNA,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
El Monte,CAPREDENA,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Monte,DESCONOCIDO,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,1.0,,,,,
El Monte,FONASA,1.0,1.0,4.0,3.0,4.0,1.0,1.0,1.0,12.0,6.0,7.0,10.0,2.0,2.0,6.0,4.0,7.0,12.0,13.0,8.0,6.0,8.0,11.0,9.0,8.0,8.0,9.0,4.0,3.0,2.0,1.0,3.0,5.0,3.0,1.0,5.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,4.0,4.0,6.0,4.0,7.0,6.0,4.0,5.0,4.0,3.0,2.0,1.0,,1.0,3.0
El Monte,ISAPRE,,,,,1.0,,,,,,1.0,1.0,,,,2.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,
El Quisco,DESCONOCIDO,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Quisco,FONASA,1.0,,,,,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
El Quisco,ISAPRE,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Tabo,DESCONOCIDO,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Tabo,FONASA,1.0,1.0,1.0,,,2.0,2.0,,,1.0,1.0,1.0,3.0,4.0,2.0,3.0,3.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,1.0,,,,,,
El Tabo,ISAPRE,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Estación Central,CAPREDENA,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estación Central,DESCONOCIDO,5.0,4.0,8.0,11.0,15.0,16.0,11.0,11.0,8.0,7.0,10.0,11.0,12.0,11.0,10.0,10.0,9.0,19.0,14.0,12.0,8.0,9.0,11.0,10.0,10.0,17.0,15.0,7.0,6.0,6.0,5.0,10.0,10.0,12.0,11.0,10.0,14.0,10.0,9.0,10.0,6.0,6.0,4.0,3.0,2.0,4.0,2.0,1.0,,1.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0
Estación Central,DIPRECA,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estación Central,FONASA,25.0,26.0,23.0,28.0,32.0,46.0,34.0,40.0,38.0,43.0,49.0,55.0,53.0,54.0,52.0,45.0,29.0,70.0,55.0,17.0,12.0,18.0,24.0,20.0,20.0,17.0,15.0,14.0,17.0,13.0,16.0,18.0,22.0,22.0,14.0,11.0,17.0,10.0,12.0,14.0,12.0,8.0,8.0,6.0,8.0,16.0,7.0,6.0,5.0,3.0,10.0,6.0,9.0,10.0,9.0,6.0,9.0,10.0
Estación Central,ISAPRE,8.0,4.0,2.0,3.0,7.0,8.0,5.0,8.0,12.0,10.0,13.0,14.0,14.0,16.0,16.0,17.0,21.0,22.0,16.0,7.0,6.0,5.0,6.0,6.0,6.0,8.0,7.0,3.0,,2.0,3.0,2.0,1.0,,2.0,1.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,6.0,5.0,5.0,4.0,2.0,4.0
Estación Central,NINGUNA,1.0,1.0,1.0,2.0,1.0,5.0,7.0,5.0,6.0,5.0,7.0,5.0,6.0,6.0,6.0,5.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,,,1.0,,,1.0,1.0,,,2.0,,,,,,,,,,,,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0
Fresia,FONASA,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
Frutillar,FONASA,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Futaleufú,FONASA,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graneros,FONASA,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,1.0
Hualañé,FONASA,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hualpén,FONASA,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Hualpén,ISAPRE,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
Hualqui,ISAPRE,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huechuraba,CAPREDENA,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,
Huechuraba,DESCONOCIDO,2.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,6.0,3.0,,,,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,,,,,
Huechuraba,DIPRECA,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huechuraba,FONASA,18.0,13.0,23.0,31.0,41.0,46.0,36.0,34.0,40.0,38.0,35.0,40.0,46.0,32.0,31.0,33.0,33.0,41.0,42.0,17.0,9.0,11.0,20.0,14.0,19.0,15.0,18.0,8.0,10.0,11.0,13.0,11.0,12.0,10.0,8.0,7.0,3.0,5.0,4.0,8.0,5.0,2.0,1.0,7.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,6.0,2.0,1.0
Huechuraba,ISAPRE,7.0,9.0,11.0,7.0,6.0,10.0,7.0,9.0,13.0,6.0,9.0,10.0,12.0,9.0,10.0,10.0,9.0,20.0,12.0,4.0,5.0,5.0,7.0,8.0,4.0,5.0,4.0,1.0,,,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,5.0,5.0,3.0,2.0,1.0,6.0,4.0,5.0,1.0,1.0,,1.0,3.0,3.0,,2.0,1.0,,1.0,
Huechuraba,NINGUNA,1.0,1.0,1.0,2.0,1.0,,1.0,,,,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Independencia,DESCONOCIDO,4.0,3.0,5.0,5.0,7.0,4.0,5.0,4.0,4.0,5.0,5.0,8.0,3.0,4.0,5.0,3.0,3.0,14.0,9.0,1.0,2.0,1.0,,1.0,1.0,3.0,2.0,1.0,,1.0,,2.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,2.0,1.0,2.0,,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,1.0
Independencia,FONASA,21.0,21.0,23.0,21.0,34.0,37.0,35.0,34.0,46.0,54.0,44.0,42.0,38.0,29.0,30.0,33.0,29.0,57.0,51.0,28.0,15.0,15.0,22.0,22.0,19.0,20.0,24.0,19.0,17.0,15.0,20.0,18.0,19.0,12.0,12.0,12.0,12.0,17.0,10.0,11.0,10.0,4.0,2.0,2.0,4.0,11.0,8.0,5.0,4.0,4.0,4.0,6.0,6.0,7.0,4.0,5.0,3.0,3.0
Independencia,ISAPRE,1.0,,3.0,1.0,5.0,10.0,5.0,4.0,11.0,9.0,5.0,6.0,4.0,3.0,2.0,4.0,5.0,7.0,8.0,4.0,3.0,3.0,5.0,3.0,1.0,,,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,,,
Independencia,NINGUNA,,1.0,2.0,2.0,7.0,5.0,3.0,2.0,5.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,5.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,,,,,,1.0,1.0,1.0,1.0,,
Iquique,DESCONOCIDO,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,
Iquique,FONASA,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,1.0,,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,2.0,3.0,1.0,,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,,
Iquique,ISAPRE,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iquique,NINGUNA,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isla de Maipo,DESCONOCIDO,,,,,,,,,,1.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
Isla de Maipo,DIPRECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isla de Maipo,FONASA,3.0,2.0,6.0,3.0,5.0,6.0,7.0,20.0,16.0,9.0,16.0,14.0,15.0,14.0,13.0,14.0,10.0,16.0,12.0,6.0,8.0,5.0,6.0,6.0,6.0,11.0,7.0,6.0,5.0,10.0,9.0,12.0,6.0,6.0,3.0,2.0,5.0,1.0,,,2.0,1.0,,2.0,,,,1.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,1.0,2.0
Isla de Maipo,ISAPRE,2.0,2.0,1.0,3.0,3.0,,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,3.0,2.0,1.0,2.0,,2.0,1.0,3.0,1.0,1.0,2.0,2.0,,,,1.0,1.0,2.0,,,,,,,1.0,,,,,,,1.0,1.0,1.0,2.0,1.0,,,1.0,1.0,,,
Isla de Maipo,NINGUNA,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
La Cisterna,CAPREDENA,1.0,1.0,1.0,1.0,2.0,3.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cisterna,DESCONOCIDO,1.0,,1.0,2.0,3.0,5.0,4.0,4.0,6.0,3.0,3.0,8.0,6.0,5.0,3.0,5.0,5.0,14.0,11.0,1.0,,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,,,2.0,3.0,2.0,2.0,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,
La Cisterna,FONASA,11.0,13.0,21.0,26.0,24.0,12.0,19.0,24.0,18.0,25.0,27.0,23.0,20.0,25.0,24.0,14.0,27.0,41.0,30.0,13.0,13.0,9.0,9.0,12.0,13.0,16.0,16.0,20.0,11.0,17.0,16.0,13.0,19.0,10.0,10.0,6.0,7.0,11.0,7.0,5.0,6.0,4.0,3.0,3.0,6.0,2.0,1.0,3.0,1.0,1.0,3.0,5.0,2.0,1.0,2.0,1.0,1.0,2.0
La Cisterna,ISAPRE,6.0,12.0,9.0,6.0,9.0,11.0,9.0,5.0,8.0,12.0,10.0,4.0,3.0,6.0,6.0,5.0,5.0,11.0,10.0,5.0,6.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,,,1.0,2.0,2.0,1.0,1.0,,,1.0,,,1.0,,,,,2.0,1.0,2.0,1.0,1.0,,
La Cisterna,NINGUNA,,,,,,,,,,,,1.0,,,,2.0,1.0,2.0,2.0,,,,,,,2.0,,,,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,
La Cruz,FONASA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Florida,CAPREDENA,,,,,,,,,,,,,,,,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Florida,DESCONOCIDO,8.0,5.0,11.0,7.0,17.0,14.0,7.0,6.0,16.0,14.0,12.0,11.0,8.0,9.0,7.0,7.0,9.0,19.0,19.0,10.0,8.0,5.0,11.0,10.0,8.0,6.0,6.0,,,3.0,5.0,5.0,7.0,3.0,4.0,2.0,4.0,1.0,,3.0,1.0,4.0,3.0,2.0,2.0,6.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,4.0
La Florida,DIPRECA,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,
La Florida,FONASA,46.0,46.0,63.0,57.0,59.0,75.0,69.0,80.0,88.0,90.0,89.0,85.0,90.0,87.0,91.0,67.0,67.0,151.0,122.0,38.0,38.0,36.0,28.0,25.0,37.0,24.0,30.0,29.0,34.0,22.0,20.0,21.0,20.0,14.0,25.0,23.0,18.0,18.0,20.0,18.0,19.0,18.0,15.0,16.0,16.0,23.0,16.0,15.0,10.0,17.0,13.0,14.0,9.0,20.0,26.0,19.0,18.0,17.0
La Florida,ISAPRE,15.0,13.0,14.0,21.0,21.0,25.0,19.0,21.0,28.0,28.0,31.0,24.0,27.0,17.0,17.0,16.0,15.0,33.0,25.0,14.0,9.0,10.0,16.0,15.0,11.0,12.0,8.0,4.0,3.0,3.0,7.0,8.0,12.0,4.0,2.0,3.0,6.0,5.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,7.0,5.0,2.0,3.0,3.0,3.0,7.0,3.0,4.0,7.0,6.0,3.0,9.0
La Florida,NINGUNA,1.0,,,,,,1.0,1.0,1.0,,,,1.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,1.0,,,,,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
La Granja,DESCONOCIDO,1.0,,,1.0,2.0,5.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,,,,,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,
La Granja,DIPRECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Granja,FONASA,19.0,17.0,27.0,23.0,20.0,28.0,16.0,32.0,24.0,41.0,36.0,51.0,54.0,40.0,36.0,45.0,54.0,72.0,58.0,15.0,19.0,14.0,18.0,21.0,19.0,17.0,20.0,9.0,8.0,10.0,14.0,9.0,9.0,9.0,6.0,4.0,5.0,7.0,8.0,5.0,6.0,4.0,2.0,3.0,3.0,7.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,4.0,3.0,5.0,10.0
La Granja,ISAPRE,7.0,5.0,4.0,4.0,4.0,4.0,1.0,1.0,5.0,,2.0,2.0,1.0,1.0,1.0,4.0,4.0,3.0,2.0,1.0,1.0,,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,
La Granja,NINGUNA,,2.0,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
La Ligua,ISAPRE,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Pintana,DESCONOCIDO,1.0,,,2.0,3.0,4.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,,2.0,,4.0,3.0,1.0,2.0,1.0,,2.0,1.0,,,1.0,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,
La Pintana,FONASA,17.0,21.0,35.0,39.0,38.0,48.0,38.0,38.0,45.0,43.0,46.0,39.0,36.0,39.0,41.0,44.0,40.0,72.0,61.0,16.0,15.0,16.0,18.0,22.0,19.0,24.0,15.0,15.0,13.0,18.0,14.0,19.0,22.0,17.0,9.0,11.0,12.0,12.0,11.0,8.0,6.0,9.0,7.0,15.0,7.0,11.0,8.0,8.0,4.0,3.0,8.0,5.0,3.0,1.0,2.0,3.0,3.0,2.0
La Pintana,ISAPRE,,1.0,,,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,,,1.0,1.0,1.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
La Reina,CAPREDENA,,,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
La Reina,DESCONOCIDO,1.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,6.0,4.0,3.0,2.0,3.0,2.0,4.0,4.0,,,,,,1.0,1.0,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,2.0,1.0,,1.0,,,3.0
La Reina,FONASA,4.0,3.0,9.0,13.0,9.0,10.0,10.0,15.0,18.0,13.0,9.0,12.0,7.0,8.0,5.0,8.0,7.0,15.0,8.0,5.0,2.0,4.0,5.0,3.0,3.0,4.0,1.0,2.0,2.0,6.0,2.0,,4.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,3.0,2.0,,
La Reina,ISAPRE,6.0,6.0,8.0,9.0,16.0,19.0,23.0,20.0,21.0,16.0,21.0,19.0,18.0,16.0,13.0,10.0,8.0,23.0,13.0,4.0,2.0,3.0,3.0,5.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,,3.0,2.0,4.0,2.0,9.0,3.0,3.0,5.0,4.0,3.0,3.0,4.0,6.0,3.0,3.0,2.0,3.0,3.0,6.0
La Reina,NINGUNA,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Serena,DESCONOCIDO,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0
La Serena,FONASA,,1.0,,,,,,1.0,,,1.0,1.0,1.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0
La Serena,ISAPRE,,,,,,1.0,1.0,2.0,,,,,1.0,,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
La Unión,FONASA,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lampa,DESCONOCIDO,,,2.0,,3.0,3.0,4.0,3.0,2.0,,3.0,2.0,4.0,4.0,3.0,8.0,9.0,13.0,12.0,4.0,2.0,1.0,4.0,2.0,,1.0,,,,,,2.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,,1.0,,,1.0,2.0,,2.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,,2.0
Lampa,FONASA,9.0,4.0,12.0,9.0,26.0,19.0,25.0,28.0,22.0,25.0,31.0,33.0,33.0,27.0,22.0,24.0,27.0,46.0,40.0,21.0,14.0,10.0,9.0,15.0,14.0,11.0,8.0,6.0,11.0,8.0,11.0,9.0,12.0,6.0,10.0,6.0,8.0,7.0,5.0,5.0,8.0,5.0,6.0,12.0,7.0,6.0,4.0,5.0,7.0,6.0,3.0,3.0,7.0,4.0,3.0,2.0,2.0,1.0
Lampa,ISAPRE,7.0,4.0,9.0,11.0,17.0,11.0,8.0,11.0,8.0,13.0,7.0,9.0,9.0,9.0,8.0,8.0,9.0,13.0,10.0,1.0,3.0,1.0,4.0,6.0,3.0,2.0,2.0,2.0,1.0,9.0,7.0,4.0,2.0,2.0,1.0,2.0,1.0,4.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,,,1.0,2.0
Lampa,NINGUNA,,1.0,,,,,2.0,2.0,3.0,3.0,1.0,,,1.0,1.0,2.0,2.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Lanco,FONASA,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,
