comuna_estab_deis,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21
La Ligua,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,
La Pintana,55.0,55.0,51.0,47.0,46.0,44.0,39.0,81.0,61.0,59.0,75.0,81.0,59.0,65.0,66.0,82.0,91.0,73.0,107.0,95.0,60.0,124.0,93.0,96.0,99.0,75.0,88.0,69.0,75.0,70.0,102.0,43.0,43.0,73.0,61.0,58.0,57.0,40.0,46.0,36.0,31.0,38.0,15.0,13.0,26.0,11.0,28.0,20.0,22.0,30.0,24.0
La Reina,11.0,20.0,20.0,10.0,13.0,16.0,36.0,40.0,27.0,50.0,36.0,19.0,43.0,24.0,28.0,32.0,34.0,38.0,29.0,47.0,38.0,20.0,46.0,51.0,13.0,38.0,34.0,9.0,18.0,15.0,8.0,12.0,12.0,15.0,21.0,17.0,7.0,9.0,11.0,3.0,8.0,9.0,2.0,2.0,33.0,8.0,1.0,30.0,8.0,3.0,4.0
La Serena,,2.0,,1.0,,1.0,,5.0,,3.0,4.0,,2.0,2.0,2.0,,,4.0,1.0,,1.0,11.0,1.0,,3.0,2.0,,1.0,1.0,1.0,,,4.0,,2.0,3.0,2.0,,1.0,,,1.0,,1.0,,,1.0,,,1.0,
Lampa,28.0,12.0,19.0,12.0,17.0,23.0,17.0,37.0,33.0,34.0,43.0,30.0,45.0,32.0,24.0,44.0,50.0,38.0,22.0,47.0,49.0,24.0,31.0,44.0,26.0,37.0,41.0,34.0,56.0,38.0,31.0,43.0,33.0,28.0,13.0,25.0,19.0,14.0,26.0,23.0,20.0,25.0,22.0,20.0,19.0,21.0,25.0,21.0,25.0,14.0,19.0
Las Condes,29.0,37.0,25.0,26.0,20.0,20.0,62.0,96.0,71.0,56.0,73.0,50.0,67.0,61.0,60.0,87.0,88.0,70.0,59.0,71.0,61.0,41.0,45.0,47.0,37.0,70.0,61.0,55.0,48.0,43.0,68.0,37.0,22.0,45.0,34.0,18.0,27.0,17.0,27.0,33.0,23.0,23.0,16.0,11.0,13.0,21.0,21.0,36.0,24.0,16.0,33.0
Lebu,,1.0,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,,1.0,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Linares,,,1.0,,,1.0,2.0,2.0,1.0,1.0,2.0,1.0,,1.0,,,2.0,,,1.0,,,,,,,2.0,,,3.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,
Lo Barnechea,25.0,24.0,10.0,16.0,50.0,12.0,28.0,22.0,35.0,24.0,18.0,24.0,15.0,21.0,23.0,22.0,27.0,31.0,28.0,23.0,27.0,22.0,19.0,18.0,10.0,9.0,15.0,10.0,10.0,14.0,7.0,4.0,7.0,25.0,12.0,2.0,18.0,9.0,9.0,13.0,10.0,8.0,5.0,1.0,11.0,10.0,8.0,3.0,2.0,4.0,2.0
Lo Espejo,25.0,12.0,17.0,16.0,21.0,14.0,21.0,42.0,32.0,37.0,46.0,26.0,40.0,59.0,32.0,75.0,78.0,48.0,62.0,64.0,49.0,37.0,50.0,53.0,41.0,42.0,65.0,44.0,24.0,59.0,37.0,25.0,32.0,29.0,20.0,25.0,13.0,22.0,26.0,11.0,14.0,24.0,14.0,6.0,13.0,18.0,3.0,5.0,7.0,4.0,3.0
