cont_comuna,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10
Maipú,168.0,123.0,126.0,108.0,112.0,156.0,248.0,316.0,305.0,282.0,312.0,281.0,272.0,255.0,236.0,257.0,290.0,269.0,228.0,375.0,298.0,259.0,342.0,337.0,215.0,263.0,323.0,253.0,207.0,228.0,237.0,170.0,206.0,190.0,147.0,169.0,101.0,108.0,136.0,99.0,97.0,97.0,80.0,61.0,68.0,86.0,42.0,72.0,71.0,62.0,74.0,82.0,59.0,56.0,82.0,37.0,47.0,63.0,41.0,74.0,80.0,65.0,96.0,94.0,75.0,123.0,109.0,97.0,134.0,169.0,168.0
Marchihue,,1.0,,,,,,1.0,2.0,,1.0,2.0,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maria Pinto,8.0,6.0,7.0,4.0,2.0,1.0,3.0,2.0,8.0,2.0,7.0,9.0,20.0,9.0,4.0,28.0,24.0,15.0,9.0,22.0,23.0,18.0,16.0,10.0,14.0,12.0,12.0,2.0,11.0,13.0,10.0,15.0,21.0,17.0,18.0,28.0,,5.0,9.0,,2.0,9.0,2.0,2.0,3.0,5.0,2.0,3.0,4.0,3.0,2.0,4.0,1.0,2.0,4.0,,2.0,1.0,1.0,8.0,4.0,6.0,5.0,4.0,9.0,,,1.0,,,4.0
Maule,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,2.0,,,,,,,,,,
Melipilla,66.0,32.0,39.0,43.0,29.0,26.0,50.0,43.0,22.0,37.0,41.0,46.0,34.0,67.0,50.0,55.0,79.0,39.0,55.0,65.0,56.0,58.0,52.0,83.0,47.0,40.0,93.0,45.0,34.0,96.0,43.0,26.0,62.0,58.0,24.0,56.0,42.0,17.0,36.0,33.0,32.0,24.0,19.0,25.0,16.0,22.0,19.0,37.0,27.0,35.0,33.0,20.0,35.0,13.0,18.0,36.0,14.0,29.0,24.0,28.0,17.0,30.0,29.0,10.0,34.0,29.0,11.0,27.0,23.0,23.0,24.0
Mostazal,,,1.0,,,,1.0,,3.0,,,3.0,,,,,,,,1.0,2.0,,1.0,3.0,,,7.0,2.0,,7.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,2.0,2.0
Mulchén,3.0,3.0,2.0,1.0,3.0,,,,,1.0,,2.0,1.0,1.0,2.0,,1.0,,,,,,,,,,,1.0,,,4.0,,1.0,5.0,,2.0,,,1.0,,,1.0,5.0,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,1.0,,,1.0,,2.0,,,1.0
Nacimiento,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
Natales,,,,,,2.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,1.0,,1.0
Navidad,,2.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,2.0,,1.0,2.0,,1.0,,,2.0,,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,
